,Station,Longitude,Latitude,Ref. value,Plot Color
2345,ARKADELPHIA 2 N,-93.0589,34.1433,-0.000423591,No Color
223,ARROWROCK DAM,-115.9236,43.5936,-0.003087341,No Color
2040,ARTESIA 6S,-104.3836,32.7547,-0.001074713,No Color
885,ARTHUR,-101.6914,41.5697,-0.000803704,No Color
667,ARTICHOKE LAKE,-96.1542,45.3783,-0.000855382,No Color
22,ASH MTN,-118.8253,36.4914,-0.001627816,No Color
2261,ASHBURN 3 ENE,NA,NA,-0.00093187,No Color
1587,ASHEBORO 2 W,-79.8378,35.7044,-0.000860782,No Color
1940,ASHEVILLE,-82.5567,35.5953,-0.001184927,No Color
1962,ASHEVILLE RGNL AP,-82.5375,35.4319,-0.000854172,No Color
1305,ASHLAND,-77.4833,37.75,-0.002206382,No Color
2140,ASHLAND 3 ENE,-85.7789,33.2942,-0.00108715,No Color
1747,ASHLAND NO 2,-96.3811,41.0408,-0.001217929,No Color
785,ASHLEY,-99.3742,46.0406,-0.002195066,No Color
1282,ASHTON 1N,-111.2739,44.0425,-0.00206236,No Color
730,ASTORIA RGNL AP,-123.8825,46.1569,-0.0003069,No Color
1964,ATHENS BEN EPPS AP,-83.3275,33.9481,-0.00064418,No Color
2484,ATKINSON 3SW,-99.0303,42.5136,-0.000929791,No Color
2029,ATLANTA HARTSFIELD INTL AP,-84.4417,33.63,-0.00101233,No Color
2451,ATLANTIC 1 NE,-95.0039,41.4175,-0.000618381,No Color
2163,ATLANTIC CITY,-74.4242,39.3792,-0.00299976,No Color
2149,ATLANTIC CITY INTL AP,-74.5672,39.4494,-0.002379094,No Color
2709,ATMORE,-87.4389,31.1819,-0.003886613,No Color
744,ATWOOD,-101.0422,39.7997,0.000611735,Dark Blue
3,AUBERRY 2 NW,-119.5128,37.0919,-0.000802029,No Color
2359,AUBURN 5 ESE,-95.7469,40.3706,-0.000777596,No Color
783,AUGUSTA,-112.3964,47.4931,-0.00091673,No Color
1897,AUGUSTA BUSH FLD AP,-81.9633,33.3644,-0.000576452,No Color
990,AUGUSTA STATE AP,-69.7972,44.3206,-0.00220498,No Color
2678,AUGUSTINE 2E,-107.6211,34.075,-0.002416992,No Color
1033,AURORA RSCH FARM,-76.6592,42.7339,-0.003543087,No Color
1041,AUSTIN-CAMP MABRY,-97.7603,30.3208,-0.000737699,No Color
281,AUSTIN #2,-117.0675,39.4931,-0.002951973,No Color
232,AUSTIN 1 W,-112.2656,46.6456,0.000780451,Darkest Blue
2642,AUSTIN BERGSTROM AP,-97.68,30.1831,-0.000107748,No Color
628,AUSTIN WWT FAC,-92.9739,43.6542,-0.000405776,No Color
542,AVON PARK 2 W,-81.5267,27.5947,-9.72E-06,No Color
2059,AZTEC RUINS NM,-108.0006,36.835,-0.001308996,No Color
2561,BACK BAY WR,-75.9114,36.6619,-0.000526047,No Color
888,BAD AXE,-82.9939,43.8081,-0.001032738,No Color
259,BAGDAD,-113.1739,34.5972,0.000266035,Dark Blue
747,BAILEY,-105.4767,39.4047,0.001665144,Darkest Blue
249,BAKER CITY MUNI AP,-117.8086,44.8428,-8.79E-05,No Color
256,BAKERSFIELD AP,-119.0542,35.4344,0.000600062,Dark Blue
2581,BALLINGER 2 NW,-99.9764,31.7414,-0.000241598,No Color
1084,BALMORHEA,-103.7403,30.9844,5.14E-05,No Color
1290,BALTIMORE WASH INTL AP,-76.6833,39.1667,-0.001069033,No Color
2229,BAMBERG,-81.0306,33.3,-0.000440867,No Color
428,BANDON 2 NNE,-124.4019,43.1497,8.22E-05,No Color
1047,BANGOR INTL AP,-68.8186,44.7978,-0.001375432,No Color
2473,BANKHEAD LOCK & DAM,-87.3572,33.4528,-0.001887976,No Color
2169,BANNER ELK,-81.8742,36.1617,-0.001226554,No Color
1087,BARABOO,-89.7269,43.4583,-0.000995142,No Color
1658,BARBOURVILLE,-83.8819,36.8825,-0.000314286,No Color
2064,BARDSTOWN 5E,-85.3847,37.8194,-0.000240514,No Color
2217,BARRE FALLS DAM,-72.0275,42.4281,-0.00169273,No Color
761,BARRE MONTPELIER AP,-72.5794,44.2033,-0.001720866,No Color
1173,BARROW POST ROGERS AP,-156.7814,71.2833,-0.005338034,No Color
116,BARSTOW DAGGETT AP,-116.7858,34.8536,-0.000347653,No Color
1386,BARTLESVILLE F P FLD,-96.0261,36.7683,-0.000386045,No Color
135,BARTLETT DAM,NA,NA,-0.000927464,No Color
323,BARTOW,-81.8433,27.8986,-0.000770956,No Color
1847,BASIN,-108.035,44.38,-0.000705023,No Color
833,BATAVIA,-78.1692,43.0303,-0.002594566,No Color
2272,BATESVILLE 2 SW,-89.9806,34.3061,-0.001481096,No Color
2321,BATESVILLE L&D 1,-91.6386,35.7597,-9.36E-05,No Color
2339,BATESVILLE LVSTK,-91.7944,35.8306,-0.000275395,No Color
1055,BATON ROUGE RYAN AP,-91.1469,30.5372,-0.000825447,No Color
1702,BATTLE CREEK 5NW,-85.2667,42.3667,-8.29E-05,No Color
227,BATTLE GROUND,-122.5286,45.7717,-0.00066558,No Color
566,BATTLE MOUNTAIN 4SE,-116.8917,40.6117,-0.000430901,No Color
1507,BAUDETTE,NA,NA,-0.00213169,No Color
1635,BAXTER,-83.3303,36.8583,-0.001373576,No Color
2317,BAY CITY WTR WKS,-95.975,28.9797,-6.86E-05,No Color
2094,BAY MINETTE,-87.7853,30.8839,0.000486665,Dark Blue
2227,BAYARD,-79.3683,39.2728,0.00011456,No Color
2660,BAYTOWN,-94.9908,29.9142,-0.000408356,No Color
552,BAYVIEW MODEL BASIN,-116.5594,47.9803,-0.00201253,No Color
1838,BEACONSFIELD,-94.0475,40.8236,0.000521389,Dark Blue
2005,BEAUFORT MCAS,-80.7167,32.4833,-0.001917635,No Color
586,BEAUMONT CITY,-94.0997,30.0969,-0.000240951,No Color
2701,BEAUMONT RSCH CTR,-94.2928,30.0689,-0.002830936,No Color
1015,BEAVER CITY,-99.8278,40.1306,-0.000713867,No Color
72,BEAVER FALLS,-131.4683,55.38,-0.00292212,No Color
1642,BECKLEY VA HOSPITAL,-81.1939,37.7647,0.000614198,Dark Blue
2632,BEDFORD HANSCOM FLD,-71.2894,42.47,-0.001587313,No Color
1502,BEEVILLE 5 NE,-97.7061,28.4575,-0.001107121,No Color
1604,BELCOURT KEYA RADIO,-99.7508,48.8411,-0.001612156,No Color
973,BELFAST,-68.9892,44.4394,-2.04E-05,No Color
497,BELLE FOURCHE,-103.8511,44.6714,-0.001017641,No Color
1805,BELLE MINA 2 N,-86.8819,34.6892,-0.000315759,No Color
1866,BELLE PLAINE,-92.2764,41.8814,0.000126057,No Color
893,BELLEFONTAINE,-83.7747,40.3533,-0.001340342,No Color
2142,BELLEVILLE SIU RSCH,-89.8467,38.52,-0.002543775,No Color
1425,BELLEVUE L&D 12,-90.423,42.2611,-1.57E-05,No Color
16,BELLINGHAM INTL AP,-122.5372,48.7939,-0.000862617,No Color
1880,BELOIT,-89.0311,42.5039,-0.000384458,No Color
2497,BELTSVILLE,-76.9314,39.0303,-0.002592688,No Color
1990,BELZONI,-90.4919,33.1772,-0.000634024,No Color
2413,BENBROOK DAM,-97.4439,32.6475,-0.002329055,No Color
69,BEND,-121.285,44.0569,-0.000824329,No Color
1580,BENKELMAN,-101.5325,40.0503,-0.001082524,No Color
1680,BENT CREEK,-82.5967,35.5044,0.000188029,No Color
2612,BEOWAWE,-116.475,40.5903,0.000771817,Darkest Blue
1672,BEREA COLLEGE,-84.2908,37.5733,-0.000500114,No Color
1143,BERGLAND DAM,-89.5475,46.5869,-0.000940335,No Color
390,BERKELEY,-122.2606,37.8744,6.21E-05,No Color
1918,BERNE WWTP,-84.9305,40.6683,-0.000982141,No Color
455,BETATAKIN,-110.5411,36.6778,-0.002251622,No Color
424,BETHEL AP,-161.8292,60.785,-0.002327009,No Color
163,BETTLES AP,-151.5089,66.9161,-0.002125631,No Color
501,BEULAH,-118.1522,43.9092,-7.90E-05,No Color
433,BICKLETON,-120.3006,45.9981,-0.001632667,No Color
443,BIG BAR 4 E,-123.2078,40.7406,-0.00017464,No Color
1039,BIG DELTA AP,-145.7214,63.9944,-0.001961755,No Color
685,BIG FALLS,-93.7994,48.1969,-0.00097682,No Color
240,BIG PINEY MARBLETON AP,-110.1075,42.5844,-0.002241873,No Color
