,Station,Longitude,Latitude,Ref. value,Plot Color
2345,ARKADELPHIA 2 N,-93.0589,34.1433,-0.005180585,No Color
223,ARROWROCK DAM,-115.9236,43.5936,-0.006988121,No Color
2040,ARTESIA 6S,-104.3836,32.7547,-0.005302464,No Color
885,ARTHUR,-101.6914,41.5697,-0.006252767,No Color
667,ARTICHOKE LAKE,-96.1542,45.3783,-0.003212529,No Color
22,ASH MTN,-118.8253,36.4914,-0.00277119,No Color
2261,ASHBURN 3 ENE,NA,NA,-0.004469282,No Color
1587,ASHEBORO 2 W,-79.8378,35.7044,-0.003560082,No Color
1940,ASHEVILLE,-82.5567,35.5953,-0.00407196,No Color
1962,ASHEVILLE RGNL AP,-82.5375,35.4319,-0.005313863,No Color
1305,ASHLAND,-77.4833,37.75,-0.007280603,No Color
2140,ASHLAND 3 ENE,-85.7789,33.2942,-0.004671061,No Color
1747,ASHLAND NO 2,-96.3811,41.0408,-0.000928702,No Color
785,ASHLEY,-99.3742,46.0406,-0.005663875,No Color
1282,ASHTON 1N,-111.2739,44.0425,-0.005733293,No Color
730,ASTORIA RGNL AP,-123.8825,46.1569,-0.004087754,No Color
1964,ATHENS BEN EPPS AP,-83.3275,33.9481,-0.005179389,No Color
2484,ATKINSON 3SW,-99.0303,42.5136,-0.00436328,No Color
2029,ATLANTA HARTSFIELD INTL AP,-84.4417,33.63,-0.011201099,No Color
2451,ATLANTIC 1 NE,-95.0039,41.4175,-0.00242346,No Color
2163,ATLANTIC CITY,-74.4242,39.3792,-0.008278773,No Color
2149,ATLANTIC CITY INTL AP,-74.5672,39.4494,-0.008702304,No Color
2709,ATMORE,-87.4389,31.1819,-0.005708653,No Color
744,ATWOOD,-101.0422,39.7997,-0.002195306,No Color
3,AUBERRY 2 NW,-119.5128,37.0919,-0.008242599,No Color
2359,AUBURN 5 ESE,-95.7469,40.3706,-0.000633412,No Color
783,AUGUSTA,-112.3964,47.4931,-0.004087907,No Color
1897,AUGUSTA BUSH FLD AP,-81.9633,33.3644,-0.005842418,No Color
990,AUGUSTA STATE AP,-69.7972,44.3206,-0.002346272,No Color
2678,AUGUSTINE 2E,-107.6211,34.075,-0.010209773,No Color
1033,AURORA RSCH FARM,-76.6592,42.7339,-0.005546136,No Color
1041,AUSTIN-CAMP MABRY,-97.7603,30.3208,-0.009618535,No Color
281,AUSTIN #2,-117.0675,39.4931,-0.006432855,No Color
232,AUSTIN 1 W,-112.2656,46.6456,-0.001398382,No Color
2642,AUSTIN BERGSTROM AP,-97.68,30.1831,-0.002939648,No Color
628,AUSTIN WWT FAC,-92.9739,43.6542,0.001633321,Dark Green
